Reference,Age (Ma),Age old,Age young,CO2 (ppm),type,CO2 low,CO2 high,CO2 range,Distribution,Proxy type
"Foster et al., 2012",13.25,,,244,mean,221,267,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",13.48,,,243,mean,220,266,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",13.72,,,240,mean,217,263,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",13.83,,,257,mean,233,282,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",14.17,,,268,mean,242,295,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",14.31,,,272,mean,247,299,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",14.80,,,374,mean,336,415,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",15.04,,,332,mean,297,369,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",15.56,,,298,mean,270,328,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",15.87,,,392,mean,351,438,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",16.38,,,225,mean,204,246,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",11.80,,,247,mean,225,271,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",13.60,,,232,mean,211,254,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Foster et al., 2012",14.94,,,346,mean,314,378,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",slight right skew (mode < mean),Boron
"Badger et al., 2013a",13.70,,,250,mean,227,274,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),Boron
"Badger et al., 2013a",13.74,,,255,mean,231,279,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),Boron
"Badger et al., 2013a",13.74,,,230,mean,208,251,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),Boron
"Badger et al., 2013a",13.77,,,301,mean,273,329,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),Boron
"Badger et al., 2013a",13.79,,,283,mean,257,310,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),Boron
"Badger et al., 2013a",13.80,,,311,mean,282,340,"+/- one standard error; reported uncertainty is +/- 2 standard errors, as determined by varying d11B only (+/- 2 standard errors); because distributions are close to gaussian, the +/- one standard error is calculated here by halving the differentials to the mean",close to Gaussian (mode = mean),Boron
"Greenop et al., 2014",15.54,,,300,mean,254,357,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.60,,,442,mean,371,530,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.61,,,469,mean,394,562,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.63,,,330,mean,280,391,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.65,,,294,mean,248,350,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.69,,,287,mean,238,352,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.72,,,505,mean,401,682,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.76,,,291,mean,243,352,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.77,,,315,mean,261,384,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.81,,,520,mean,432,638,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.84,,,435,mean,364,527,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.89,,,281,mean,237,333,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.95,,,291,mean,236,369,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.96,,,318,mean,268,379,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.98,,,595,mean,496,727,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",15.99,,,322,mean,271,387,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.06,,,293,mean,247,348,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.12,,,406,mean,334,503,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.15,,,309,mean,261,366,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.18,,,271,mean,229,322,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.21,,,236,mean,197,287,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.24,,,477,mean,390,603,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.27,,,278,mean,235,328,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.30,,,467,mean,392,561,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.33,,,262,mean,223,309,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.37,,,502,mean,421,606,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.40,,,430,mean,362,516,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.42,,,221,mean,189,261,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.47,,,532,mean,425,701,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.59,,,271,mean,230,319,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.65,,,242,mean,204,284,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.69,,,236,mean,199,282,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.76,,,338,mean,285,405,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",16.98,,,207,mean,172,250,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Greenop et al., 2014",17.11,,,252,mean,215,297,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.34,,,317,median,281,354,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.35,,,318,median,279,357,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.35,,,306,median,271,342,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.36,,,450,median,395,505,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.37,,,415,median,366,463,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.38,,,371,median,328,416,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.39,,,377,median,334,421,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.41,,,278,median,245,310,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.42,,,332,median,294,371,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.45,,,320,median,283,358,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.47,,,340,median,302,379,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.50,,,357,median,316,398,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.50,,,362,median,321,403,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.52,,,246,median,218,275,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.55,,,335,median,297,374,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.56,,,300,median,265,335,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.58,,,330,median,292,368,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.59,,,362,median,319,405,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.62,,,279,median,246,311,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.62,,,305,median,270,340,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.63,,,245,median,216,274,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.65,,,282,median,249,315,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.66,,,302,median,267,336,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.67,,,263,median,232,294,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.68,,,323,median,286,360,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.69,,,284,median,251,317,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.70,,,276,median,244,308,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.70,,,234,median,205,265,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.70,,,319,median,282,357,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.71,,,262,median,231,294,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.75,,,339,median,300,378,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.75,,,321,median,283,360,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.76,,,358,median,317,400,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.78,,,279,median,247,312,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.80,,,281,median,249,314,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.83,,,317,median,281,355,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.83,,,361,median,314,408,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.84,,,388,median,343,433,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.85,,,308,median,272,343,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.86,,,445,median,392,498,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.91,,,371,median,328,413,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
"Martinez-Boti et al., 2015",2.92,,,377,median,334,420,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),Boron
